Output dir: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards
Reward modes: ['shaped', 'green_only', 'no_step_penalty', 'info_gain', 'sparse']

======================================================================
Training entropy PPO with reward mode: shaped
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  shaped
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    1.88 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 80
Ep    2660 | Rew    1.78 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 10044
Ep    2680 | Rew    2.03 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 10125
Ep    2700 | Rew    1.76 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.97 | Steps 10194
Ep    2720 | Rew    1.92 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 10267
Ep    2740 | Rew    1.94 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 10348
Ep    2760 | Rew    1.82 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.97 | Steps 10422
Ep    2780 | Rew    1.84 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 10498
Ep    2800 | Rew    1.82 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 10579
Ep    2820 | Rew    2.02 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 10654
Ep    2840 | Rew    2.07 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.97 | Steps 10732
Ep    2860 | Rew    1.88 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 10807
Ep    2880 | Rew    1.80 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 10880
Ep    2900 | Rew    1.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 10955
Ep    2920 | Rew    1.87 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.97 | Steps 11036
Ep    2940 | Rew    2.05 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 11108
Ep    2960 | Rew    1.92 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 11181
Ep    2980 | Rew    1.81 | Win%  95.0 | Len 3.8 | Info 11.18b | Beta 9.97 | Steps 11256
Ep    3000 | Rew    1.98 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.97 | Steps 11328

Training done. Best win rate: 100.0%
Final beta: 9.97
Evaluating shaped using model: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards/entropy_ppo_shaped_best.pt
Loading cached pattern matrix from pattern_matrix.npy
Loaded model with beta = 10.00

RL Agent Evaluation (100 games):
  Win rate:    100.0%
  Avg rounds:  3.40
  Avg info:    11.18 bits
  Entropy agreement: 84.1% (286/340 guesses)
  1: 0  2: 3  3: 56  4: 39  5: 2  6: 0  fail: 0

======================================================================
Training entropy PPO with reward mode: green_only
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  green_only
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    1.70 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 73
  -> New best model saved (100.0%)
Ep      40 | Rew    1.76 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 152
Ep      60 | Rew    1.52 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 226
Ep      80 | Rew    1.68 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 300
Ep     100 | Rew    1.63 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 377
Ep     120 | Rew    1.56 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 454
Ep     140 | Rew    1.66 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 530
Ep     160 | Rew    1.61 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 610
Ep     180 | Rew    1.57 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 682
Ep     200 | Rew    1.55 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 759
Ep     220 | Rew    1.57 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 832
Ep     240 | Rew    1.52 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 905
Ep     260 | Rew    1.62 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 977
Ep     280 | Rew    1.50 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 1047
Ep     300 | Rew    1.52 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1123
Ep     320 | Rew    1.60 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1198
Ep     340 | Rew    1.58 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1272
Ep     360 | Rew    1.62 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 1351
Ep     380 | Rew    1.57 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1426
Ep     400 | Rew    1.77 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 1507
Ep     420 | Rew    1.55 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 1582
Ep     440 | Rew    1.55 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.01 | Steps 1656
Ep     460 | Rew    1.49 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 1731
Ep     480 | Rew    1.56 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.01 | Steps 1804
Ep     500 | Rew    1.57 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.01 | Steps 1877
Ep     520 | Rew    1.57 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.01 | Steps 1951
Ep     540 | Rew    1.55 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 2028
Ep     560 | Rew    1.54 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 2106
Ep     580 | Rew    1.57 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 2183
Ep     600 | Rew    1.58 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 2260
Ep     620 | Rew    1.50 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 2336
Ep     640 | Rew    1.41 | Win%  95.0 | Len 4.1 | Info 11.18b | Beta 10.01 | Steps 2418
Ep     660 | Rew    1.53 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 2497
Ep     680 | Rew    1.49 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 2575
Ep     700 | Rew    1.56 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.01 | Steps 2646
Ep     720 | Rew    1.52 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 2723
Ep     740 | Rew    1.40 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 2798
Ep     760 | Rew    1.55 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.01 | Steps 2869
Ep     780 | Rew    1.59 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 2949
Ep     800 | Rew    1.54 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 3025
Ep     820 | Rew    1.64 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 10.01 | Steps 3108
Ep     840 | Rew    1.44 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 3186
Ep     860 | Rew    1.66 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 3263
Ep     880 | Rew    1.52 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 3343
Ep     900 | Rew    1.50 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.01 | Steps 3417
Ep     920 | Rew    1.67 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 3495
Ep     940 | Rew    1.52 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.01 | Steps 3564
Ep     960 | Rew    1.57 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 3642
Ep     980 | Rew    1.68 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 3721
Ep    1000 | Rew    1.46 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 3797
