Output dir: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards
Reward modes: ['shaped', 'green_only', 'no_step_penalty', 'info_gain', 'sparse']

======================================================================
Training entropy PPO with reward mode: shaped
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  shaped
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    1.88 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 80
Training done. Best win rate: 100.0%
Final beta: 9.96
Evaluating no_step_penalty using model: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards/entropy_ppo_no_step_penalty_best.pt
Loading cached pattern matrix from pattern_matrix.npy
Loaded model with beta = 10.00

RL Agent Evaluation (100 games):
  Win rate:    100.0%
  Avg rounds:  3.61
  Avg info:    11.18 bits
  Entropy agreement: 84.8% (306/361 guesses)
  1: 0  2: 1  3: 44  4: 48  5: 7  6: 0  fail: 0

======================================================================
Training entropy PPO with reward mode: info_gain
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  info_gain
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 72
  -> New best model saved (100.0%)
Ep      40 | Rew   10.97 | Win%  95.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 153
Ep      60 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 226
Ep      80 | Rew   11.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 297
Ep     100 | Rew   11.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 367
Ep     120 | Rew   10.97 | Win%  95.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 448
Ep     140 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 526
Ep     160 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 601
Ep     180 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 679
Ep     200 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 751
Ep     220 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 825
Ep     240 | Rew   10.97 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 10.00 | Steps 908
Ep     260 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 984
Ep     280 | Rew   11.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 1054
Ep     300 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1129
Ep     320 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 1203
Ep     340 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1281
Ep     360 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1359
Ep     380 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1437
Ep     400 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1514
Ep     420 | Rew   11.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 1585
Ep     440 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 1657
Ep     460 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1732
Ep     480 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1810
Ep     500 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1886
Ep     520 | Rew   10.99 | Win%  95.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1962
Ep     540 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 2039
Ep     560 | Rew   10.98 | Win%  95.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 2117
Ep     580 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 2195
Ep     600 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 2270
Ep     620 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 2350
Ep     640 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 2428
Ep     660 | Rew   10.97 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 10.00 | Steps 2512
Ep     680 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 2586
Ep     700 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 2659
Ep     720 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 2733
Ep     740 | Rew   11.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 2803
Ep     760 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 2875
Ep     780 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 2951
Ep     800 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3029
Ep     820 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 3108
Ep     840 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 3181
Ep     860 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 3261
Ep     880 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3338
Ep     900 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3415
Ep     920 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3493
Ep     940 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3571
Ep     960 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 3647
Ep     980 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 3725
Ep    1000 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 3801
Ep    1020 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 3880
Ep    1040 | Rew   10.97 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 10.00 | Steps 3963
Ep    1060 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 4041
Ep    1080 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 4119
Ep    1100 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 4197
Ep    1120 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 4272
Ep    1140 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 4352
Ep    1160 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 4431
Ep    1180 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 4504
Ep    1200 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 4583
Ep    1220 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 4656
Ep    1240 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 4728
Ep    1260 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 4806
Ep    1280 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 4884
Ep    1300 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 4962
Ep    1320 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 5038
Ep    1340 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 5112
Ep    1360 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 5190
Ep    1380 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 5266
Ep    1400 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 5342
Ep    1420 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 5415
Ep    1440 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 5490
Ep    1460 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 5563
Ep    1480 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 5640
Ep    1500 | Rew   11.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 5711
Ep    1520 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 5788
Ep    1540 | Rew   10.97 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 5869
Ep    1560 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 5947
Ep    1580 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 6025
Ep    1600 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 6101
Ep    1620 | Rew   10.97 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 6182
Ep    1640 | Rew   10.99 | Win%  95.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 6256
Ep    1660 | Rew   11.01 | Win% 100.0 | Len 3.4 | Info 11.18b | Beta 10.00 | Steps 6324
Ep    1680 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 6403
Ep    1700 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 6478
Ep    1720 | Rew   10.97 | Win%  95.0 | Len 4.1 | Info 11.18b | Beta 10.00 | Steps 6560
Ep    1740 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 6633
Ep    1760 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 6711
Ep    1780 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 6784
Ep    1800 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 6858
Ep    1820 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.99 | Steps 6932
Ep    1840 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 7009
Ep    1860 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 7086
Ep    1880 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 7163
Ep    1900 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 7241
Ep    1920 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 7319
Ep    1940 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 7396
Ep    1960 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 7468
Ep    1980 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 7543
Ep    2000 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 7622
Ep    2020 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 7694
Ep    2040 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 7771
Ep    2060 | Rew   11.01 | Win%  95.0 | Len 3.4 | Info 11.18b | Beta 9.99 | Steps 7839
Ep    2080 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 7914
Ep    2100 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 7987
Ep    2120 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 8060
Ep    2140 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 8140
Ep    2160 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 8212
Ep    2180 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 8285
Ep    2200 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 8362
Ep    2220 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 8438
Ep    2240 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 8513
Ep    2260 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 8586
Ep    2280 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 8664
Ep    2300 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 8740
Ep    2320 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 8818
Ep    2340 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 8893
Ep    2360 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 8971
Ep    2380 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.99 | Steps 9043
Ep    2400 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 9118
Ep    2420 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 9194
Ep    2440 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 9273
Ep    2460 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 9351
Ep    2480 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.99 | Steps 9428
Ep    2500 | Rew   10.97 | Win% 100.0 | Len 4.1 | Info 11.18b | Beta 9.99 | Steps 9510
Ep    2520 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.99 | Steps 9585
Ep    2540 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.99 | Steps 9665
Ep    2560 | Rew   11.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.98 | Steps 9735
Ep    2580 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 9808
Ep    2600 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 9884
Ep    2620 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 9958
Ep    2640 | Rew   10.97 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 10039
Ep    2660 | Rew   10.97 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 9.98 | Steps 10123
Ep    2680 | Rew   10.98 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 9.98 | Steps 10203
Ep    2700 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 10279
Ep    2720 | Rew   11.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 10351
Ep    2740 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 10427
Ep    2760 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 10501
Ep    2780 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 10576
Ep    2800 | Rew   10.98 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 10653
Ep    2820 | Rew   10.98 | Win%  95.0 | Len 3.9 | Info 11.18b | Beta 9.98 | Steps 10730
Ep    2840 | Rew   10.99 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 9.98 | Steps 10804
Ep    2860 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 10879
Ep    2880 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 10955
Ep    2900 | Rew   11.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 9.98 | Steps 11026
Ep    2920 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 11101
Ep    2940 | Rew   11.01 | Win% 100.0 | Len 3.4 | Info 11.18b | Beta 9.98 | Steps 11169
Ep    2960 | Rew   10.99 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 9.98 | Steps 11244
Ep    2980 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 11317
Ep    3000 | Rew   10.99 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 9.98 | Steps 11390

Training done. Best win rate: 100.0%
Final beta: 9.98
Evaluating info_gain using model: /Users/ethanhersch/Documents/Documents/Stanford/CS234/Wordle-Agent/results_entropy_rewards/entropy_ppo_info_gain_best.pt
Loading cached pattern matrix from pattern_matrix.npy
Loaded model with beta = 10.00

RL Agent Evaluation (100 games):
  Win rate:    100.0%
  Avg rounds:  3.45
  Avg info:    11.18 bits
  Entropy agreement: 87.2% (301/345 guesses)
  1: 0  2: 5  3: 47  4: 46  5: 2  6: 0  fail: 0

======================================================================
Training entropy PPO with reward mode: sparse
Loading cached pattern matrix from pattern_matrix.npy
State dim:    301
Action dim:   2315
Device:       mps
Reward mode:  sparse
Model params: 225,666
Initial beta: 10.0
Training for 3000 episodes …

Ep      20 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 76
  -> New best model saved (100.0%)
Ep      40 | Rew    1.00 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 10.00 | Steps 160
Ep      60 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 234
Ep      80 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 312
Ep     100 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 391
Ep     120 | Rew    1.00 | Win% 100.0 | Len 4.2 | Info 11.18b | Beta 10.00 | Steps 474
Ep     140 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.00 | Steps 555
Ep     160 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 631
Ep     180 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 707
Ep     200 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 785
Ep     220 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.00 | Steps 859
Ep     240 | Rew    0.95 | Win%  95.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 931
Ep     260 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1009
Ep     280 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.00 | Steps 1080
Ep     300 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1155
Ep     320 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 1227
Ep     340 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1303
Ep     360 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.00 | Steps 1379
Ep     380 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.00 | Steps 1456
Ep     400 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.00 | Steps 1528
Ep     420 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 1603
Ep     440 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 1681
Ep     460 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.01 | Steps 1753
Ep     480 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 1830
Ep     500 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.01 | Steps 1903
Ep     520 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.01 | Steps 1977
Ep     540 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 2054
Ep     560 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 2130
Ep     580 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 2206
Ep     600 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 2285
Ep     620 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.01 | Steps 2359
Ep     640 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 2437
Ep     660 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.01 | Steps 2507
Ep     680 | Rew    1.00 | Win% 100.0 | Len 4.1 | Info 11.18b | Beta 10.01 | Steps 2589
Ep     700 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.01 | Steps 2662
Ep     720 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 2743
Ep     740 | Rew    0.95 | Win%  95.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 2823
Ep     760 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 2898
Ep     780 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 2974
Ep     800 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.01 | Steps 3048
Ep     820 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.01 | Steps 3126
Ep     840 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.01 | Steps 3198
Ep     860 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.01 | Steps 3274
Ep     880 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.01 | Steps 3355
Ep     900 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.01 | Steps 3428
Ep     920 | Rew    1.00 | Win% 100.0 | Len 4.1 | Info 11.18b | Beta 10.01 | Steps 3510
Ep     940 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 3587
Ep     960 | Rew    1.00 | Win% 100.0 | Len 4.1 | Info 11.18b | Beta 10.02 | Steps 3669
Ep     980 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 3743
Ep    1000 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.02 | Steps 3814
Ep    1020 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 3895
Ep    1040 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.02 | Steps 3965
Ep    1060 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 4039
Ep    1080 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 4114
Ep    1100 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 4186
Ep    1120 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 4259
Ep    1140 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 4333
Ep    1160 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 4411
Ep    1180 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 4489
Ep    1200 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 4562
Ep    1220 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 4636
Ep    1240 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 4717
Ep    1260 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.02 | Steps 4788
Ep    1280 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 4864
Ep    1300 | Rew    1.00 | Win% 100.0 | Len 3.5 | Info 11.18b | Beta 10.02 | Steps 4935
Ep    1320 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 5012
Ep    1340 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 5086
Ep    1360 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 5158
Ep    1380 | Rew    1.00 | Win% 100.0 | Len 3.9 | Info 11.18b | Beta 10.02 | Steps 5235
Ep    1400 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 5308
Ep    1420 | Rew    1.00 | Win% 100.0 | Len 3.8 | Info 11.18b | Beta 10.02 | Steps 5383
Ep    1440 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 5456
Ep    1460 | Rew    1.00 | Win% 100.0 | Len 4.0 | Info 11.18b | Beta 10.02 | Steps 5536
Ep    1480 | Rew    1.00 | Win% 100.0 | Len 3.6 | Info 11.18b | Beta 10.02 | Steps 5609
Ep    1500 | Rew    1.00 | Win% 100.0 | Len 3.7 | Info 11.18b | Beta 10.02 | Steps 5683
